material id,material name,price,total units,specific units
0000,eye pins,1.9,300,300
0001,eye or flat head pins,2.98,800,400
0100,custom jump ring,1,1000,1000
0101,4mm jump ring,1.7,1000,1000
0200,leverback hooks interchangable,8.89,100,100
0201,leverback hooks closed,16.78,300,300
0202,fish hook earwires,25.37,1100,1100
0203,4mm ball studs with loop,11.28,250,250
0204,3mm hoop with loop,1.69,6,6
0205,8mm flat disk stud with hole,6.19,50,50
0206,10mm stainless steel lobster claw,2.8,40,40
0207,stainless steel bail,4.37,100,100
0208,stainless steel cord end crimp beads,0.89,200,200
0300,2mm necklace chain 36 feet,8.99,36,36
0301,2in chain extender,5.23,120,120
0302,0.8mm elastic crystal string 65 feet,1.43,65,65
0303,0.8mm nylon string 174 feet,1.28,174,174
0400,8mm bezel tray stud loop,1.73,10,10
0401,12mm bezel tray double loop,1.56,20,20
0500,8mm star charm,14.8,420,420
0501,15mm feather charm,3.49,30,30
0502,20mm feather charm,3.69,30,30
0503,13mm hollow star charm,11.19,60,60
0504,cone bead caps,3.27,20,20
0505,trumpet flower bead caps,0.91,48,48
0506,CCB 2-feather charm,2.76,30,30
0507,10mm heart charm,4.33,200,200
0508,13x7mm anatomical heart charm,2.43,30,30
0509,11x13mm snowflake charm,2.43,30,30
0510,12x6mm ghost charm,2.43,30,30
0511,11x10mm octopus charm,2.43,30,30
0512,12x9mm flower charm,2.43,30,30
0513,12x9mm christmas tree charm,2.43,30,30
0514,13mm kitten charm,3.79,30,30
0900,bubble packaging,18.05,110,110
0901,earring card,13.43,350,350
0902,necklace card,11.08,250,250
0903,3x4in black organza bag,7.99,100,100
1001,vintage plastic beads,0,1,1
1002,8mm glass cabochon,1.69,100,100
1003,12mm glass cabochon,1.39,100,100
1004,6mm gray glass beads,3.72,32,32
1005,blue glass butterfly beads,2.61,50,50
1006,6mm dark red glass beads,0,1,1
1101,4mm red faceted bicone glass beads,4.6,293,293
1102,4mm orange faceted bicone glass beads,1.04,92,92
1103,4mm yellow faceted bicone glass beads,3.41,300,300
1104,4mm green faceted bicone glass beads,4.13,292,292
1105,4mm cyan faceted bicone glass beads,4.03,292,292
1106,4mm blue faceted bicone glass beads,3.21,292,292
1107,4mm purple faceted bicone glass beads ,4.4,393,393
1108,4mm white faceted bicone glass beads,3.33,292,292
1109,4mm gray faceted bicone glass beads,3.02,362,362
1110,4mm black faceted bicone glass beads,3.3,292,292
1111,4mm pink faceted bicone glass beads,3.64,400,400
1112,4mm magenta faceted bicone glass beads,4.27,277,277
1113,4mm light green faceted bicone glass beads,3.83,292,292
1114,4mm light purple faceted bicone glass beads,3.1,540,540
1115,4mm brown faceted bicone glass beads,2.27,200,200
1120,4mm mixed color faceted bicone glass beads strands,3.89,83,83
1121,4mm mixed color faceted bicone glass beads,1.29,100,100
1202,8mm orange round jelly glass beads,2.5,45,45
1203,8mm yellow round jelly glass beads,3,50,50
1204,8mm green round jelly glass beads,2.5,45,45
1205,8mm sky blue round jelly glass beads,1.8,100,100
1206,8mm blue round jelly glass beads,2.25,39,39
1207,8mm purple round jelly glass beads,2.43,100,100
1208,8mm white round jelly glass beads,5.69,150,150
1209,8mm gray round jelly glass beads,2.85,100,100
1210,8mm black round jelly glass beads,2.45,105,105
1211,8mm pink round jelly glass beads,2.86,100,100
1213,8mm light green round jelly glass beads,1.97,100,100
1216,8mm opaque blue glass beads,2.59,48,48
1220,8mm round jelly glass bead box,7.66,1000,535
1302,10mm orange round jelly glass beads,4.04,42,42
1303,10mm yellow round jelly glass beads,4.04,40,40
1305,10mm sky blue round jelly glass beads,2.21,50,50
1308,10mm white round jelly glass beads,3.39,79,79
1313,10mm grass green round jelly glass beads,4.04,45,45
1316,10mm wind green round jelly glass beads,4.04,42,42
1317,10mm ice blue round jelly glass beads,4.04,43,43
1318,10mm dark yellow round jelly glass beads,3.39,79,79
1320,10mm mixed round jelly glass beads,3.91,105,12
1411,6mm pink round plastic pearl beads,2.88,200,200
1420,6mm round plastic pearl box,4.72,1680,1260
1500,faceted red teardrop crystal beads,4.36,12,12
1501,teardrop smooth crystal bead,3.78,10,10
1502,long teardop crystal beads,3.79,30,12
1503,5x7mm blue faceted glass briolette beads,1.64,30,30